,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.19899999999999998,296.46,15.74,61.48,38.61
1,1981,37.0,0.18899999999999997,295.69,17.77,49.48,33.63
2,1981,38.0,0.17800000000000002,294.4,20.58,42.13,31.35
3,1981,39.0,0.165,292.4,23.58,40.1,31.84
4,1981,40.0,0.15,289.63,25.78,44.64,35.21
5,1981,41.0,0.134,285.82,26.73,54.74,40.74
6,1981,42.0,0.115,280.59,25.84,73.65,49.75
7,1981,43.0,0.094,275.67,24.46,79.66,52.06
8,1981,44.0,0.075,270.14,21.68,84.0,52.84
9,1981,45.0,0.064,264.14,21.06,90.18,55.62
10,1981,46.0,0.055999999999999994,258.2,22.18,93.19,57.69
11,1981,47.0,0.052000000000000005,254.27,23.97,92.76,58.37
12,1981,48.0,0.049,251.74,26.24,89.91,58.08
13,1981,49.0,0.046,250.06,27.22,86.63,56.93
14,1981,50.0,0.044000000000000004,248.34,28.67,86.45,57.56
15,1981,51.0,0.042,248.77,32.18,83.62,57.9
16,1981,52.0,0.04,251.14,38.23,75.03,56.63
17,1982,1.0,0.038,253.37,46.09,65.49,55.79
18,1982,2.0,0.036000000000000004,254.53,44.28,59.57,51.93
19,1982,3.0,0.034,255.68,41.53,54.36,47.95
20,1982,4.0,0.033,257.9,38.8,47.6,43.2
21,1982,5.0,0.032,259.33,35.55,46.42,40.98
22,1982,6.0,0.03,259.42,29.08,52.45,40.76
23,1982,7.0,0.028999999999999998,259.7,22.35,57.33,39.84
24,1982,8.0,0.03,261.96,20.12,55.84,37.98
25,1982,9.0,0.03,264.06,16.7,56.61,36.65
26,1982,10.0,0.031,266.95,14.54,57.21,35.87
27,1982,11.0,0.037000000000000005,270.29,16.12,58.43,37.27
28,1982,12.0,0.047,274.32,19.62,55.35,37.48
29,1982,13.0,0.062,278.97,24.48,48.13,36.31
30,1982,14.0,0.07400000000000001,282.85,24.88,40.44,32.66
31,1982,15.0,0.08900000000000001,285.96,24.86,37.25,31.05
32,1982,16.0,0.11199999999999999,288.36,26.61,38.45,32.53
33,1982,17.0,0.14,290.42,27.59,43.21,35.4
34,1982,18.0,0.174,292.1,29.12,52.26,40.69
35,1982,19.0,0.221,293.78,33.71,60.03,46.87
36,1982,20.0,0.27399999999999997,295.56,40.8,60.25,50.52
37,1982,21.0,0.321,296.98,47.68,58.54,53.11
38,1982,22.0,0.355,297.22,50.89,62.67,56.78
39,1982,23.0,0.37200000000000005,297.38,50.21,67.45,58.83
40,1982,24.0,0.374,297.12,48.44,78.07,63.26
41,1982,25.0,0.371,296.8,48.61,88.19,68.4
42,1982,26.0,0.369,297.12,51.63,89.73,70.68
43,1982,27.0,0.359,296.86,48.34,91.8,70.07
44,1982,28.0,0.353,296.86,50.28,90.8,70.54
45,1982,29.0,0.35,296.91,53.2,90.9,72.05
46,1982,30.0,0.348,297.01,57.08,90.5,73.79
47,1982,31.0,0.341,297.16,59.62,88.77,74.19
48,1982,32.0,0.335,297.71,62.02,81.88,71.95
49,1982,33.0,0.32799999999999996,297.98,63.08,76.4,69.74
50,1982,34.0,0.32,298.06,65.07,70.81,67.94
51,1982,35.0,0.308,297.83,66.86,64.68,65.77
52,1982,36.0,0.29100000000000004,297.01,65.85,57.54,61.69
53,1982,37.0,0.267,295.7,61.97,51.16,56.56
54,1982,38.0,0.243,294.01,58.91,48.12,53.51
55,1982,39.0,0.213,292.34,52.4,42.35,47.38
56,1982,40.0,0.18100000000000002,290.13,42.96,41.09,42.02
57,1982,41.0,0.15,287.63,35.35,38.19,36.77
58,1982,42.0,0.125,285.19,31.85,32.94,32.4
59,1982,43.0,0.106,282.19,30.85,32.4,31.63
60,1982,44.0,0.09,279.53,29.95,28.62,29.28
61,1982,45.0,0.076,276.39,28.25,28.52,28.39
62,1982,46.0,0.064,272.58,27.33,31.6,29.46
63,1982,47.0,0.055999999999999994,268.75,27.06,35.6,31.33
