,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.414,291.23,56.64,61.6,59.12
1,1981,37.0,0.406,290.88,62.23,49.86,56.04
2,1981,38.0,0.392,290.27,63.77,42.04,52.9
3,1981,39.0,0.374,289.22,64.12,38.97,51.55
4,1981,40.0,0.35,287.77,62.51,41.72,52.11
5,1981,41.0,0.322,285.92,60.45,41.48,50.97
6,1981,42.0,0.29100000000000004,283.43,58.87,46.5,52.68
7,1981,43.0,0.253,280.04,54.93,55.42,55.18
8,1981,44.0,0.212,276.9,50.19,54.34,52.26
9,1981,45.0,0.165,273.71,41.26,50.86,46.06
10,1981,46.0,0.131,270.34,36.65,53.11,44.88
11,1981,47.0,0.109,266.47,35.97,60.2,48.08
12,1981,48.0,0.09300000000000001,263.8,36.03,64.37,50.2
13,1981,49.0,0.081,262.99,35.42,61.04,48.23
14,1981,50.0,0.075,262.32,38.46,56.06,47.26
15,1981,51.0,0.07,261.5,42.57,52.99,47.78
16,1981,52.0,0.066,260.64,43.16,54.03,48.59
17,1982,1.0,0.065,260.93,41.81,53.98,47.9
18,1982,2.0,0.066,262.39,42.16,49.09,45.62
19,1982,3.0,0.067,263.42,42.06,46.27,44.17
20,1982,4.0,0.067,264.39,38.35,44.27,41.31
21,1982,5.0,0.067,265.61,34.87,41.49,38.18
22,1982,6.0,0.067,266.96,31.44,40.62,36.03
23,1982,7.0,0.07,268.24,29.46,41.37,35.42
24,1982,8.0,0.073,269.29,28.33,44.69,36.51
25,1982,9.0,0.073,270.72,26.1,47.6,36.85
26,1982,10.0,0.076,272.84,23.69,48.04,35.87
27,1982,11.0,0.085,275.11,23.08,46.61,34.85
28,1982,12.0,0.09699999999999999,277.26,22.21,48.77,35.49
29,1982,13.0,0.109,278.8,19.59,53.71,36.65
30,1982,14.0,0.122,279.72,17.36,62.9,40.13
31,1982,15.0,0.13,280.28,12.91,75.33,44.12
32,1982,16.0,0.152,281.82,11.22,81.9,46.56
33,1982,17.0,0.18600000000000003,283.86,12.4,83.73,48.07
34,1982,18.0,0.23199999999999998,286.67,18.41,77.86,48.14
35,1982,19.0,0.284,289.45,24.69,65.45,45.07
36,1982,20.0,0.322,291.21,26.26,58.27,42.26
37,1982,21.0,0.353,291.78,25.26,61.67,43.46
38,1982,22.0,0.373,291.98,22.2,65.75,43.97
39,1982,23.0,0.38299999999999995,291.88,18.97,70.55,44.76
40,1982,24.0,0.39,292.06,16.64,72.64,44.64
41,1982,25.0,0.402,292.34,18.06,72.44,45.25
42,1982,26.0,0.41100000000000003,292.52,18.93,72.53,45.73
43,1982,27.0,0.41700000000000004,292.85,19.99,73.64,46.81
44,1982,28.0,0.41600000000000004,293.09,20.03,74.52,47.27
45,1982,29.0,0.424,293.66,28.81,68.18,48.49
46,1982,30.0,0.43,294.08,37.98,62.21,50.09
47,1982,31.0,0.434,294.49,42.53,55.97,49.25
48,1982,32.0,0.435,294.92,45.19,48.99,47.09
49,1982,33.0,0.434,295.08,46.76,42.95,44.86
50,1982,34.0,0.428,295.1,46.34,37.3,41.82
51,1982,35.0,0.414,294.95,45.53,29.9,37.71
52,1982,36.0,0.391,294.55,42.74,23.04,32.89
53,1982,37.0,0.36200000000000004,293.72,37.9,20.4,29.15
54,1982,38.0,0.335,292.33,32.5,21.43,26.97
55,1982,39.0,0.303,290.28,25.03,28.65,26.84
56,1982,40.0,0.27,288.28,18.32,36.53,27.43
57,1982,41.0,0.243,286.95,17.07,29.69,23.38
58,1982,42.0,0.22399999999999998,285.53,21.75,23.13,22.44
59,1982,43.0,0.201,283.69,25.92,21.91,23.92
60,1982,44.0,0.17800000000000002,281.79,29.86,17.57,23.71
61,1982,45.0,0.154,279.66,32.17,15.72,23.94
62,1982,46.0,0.134,277.44,33.57,18.0,25.79
63,1982,47.0,0.11699999999999999,275.17,35.22,21.16,28.19
64,1982,48.0,0.102,272.5,35.92,26.98,31.45
65,1982,49.0,0.091,270.04,36.42,30.75,33.58
66,1982,50.0,0.081,267.72,37.26,32.27,34.77
67,1982,51.0,0.073,265.64,40.09,34.08,37.09
68,1982,52.0,0.065,264.18,39.16,38.04,38.6
69,1983,1.0,0.059000000000000004,264.08,34.68,39.4,37.04
70,1983,2.0,0.057999999999999996,265.35,33.38,36.39,34.89
71,1983,3.0,0.06,266.84,35.31,32.87,34.09
72,1983,4.0,0.064,267.98,35.89,31.95,33.92
73,1983,5.0,0.067,269.0,36.15,30.77,33.46
74,1983,6.0,0.068,270.08,33.04,31.84,32.44
75,1983,7.0,0.07,271.81,30.63,31.56,31.1
76,1983,8.0,0.075,273.84,30.45,30.69,30.57
77,1983,9.0,0.083,275.89,31.5,30.76,31.13
78,1983,10.0,0.094,278.65,33.03,28.06,30.54
79,1983,11.0,0.107,280.76,33.75,25.72,29.74
80,1983,12.0,0.125,282.27,35.08,29.01,32.05
81,1983,13.0,0.14300000000000002,283.6,35.21,32.45,33.83
82,1983,14.0,0.163,284.96,35.49,34.31,34.9
83,1983,15.0,0.185,286.46,36.49,34.54,35.52
84,1983,16.0,0.217,287.93,37.95,36.15,37.05
85,1983,17.0,0.254,289.29,39.79,39.67,39.73
86,1983,18.0,0.3,290.78,44.93,40.74,42.83
87,1983,19.0,0.342,291.79,48.41,42.71,45.56
88,1983,20.0,0.375,292.75,49.47,42.91,46.19
89,1983,21.0,0.397,292.96,46.64,49.11,47.88
90,1983,22.0,0.41200000000000003,293.06,43.04,53.78,48.41
91,1983,23.0,0.426,293.28,43.0,55.57,49.29
92,1983,24.0,0.424,292.73,37.35,64.66,51.01
93,1983,25.0,0.426,292.5,34.27,69.85,52.06
94,1983,26.0,0.434,292.68,35.36,70.07,52.72
95,1983,27.0,0.433,292.69,32.19,75.47,53.83
96,1983,28.0,0.41700000000000004,292.27,24.45,84.93,54.69
97,1983,29.0,0.401,291.72,18.52,92.69,55.61
98,1983,30.0,0.38299999999999995,291.37,13.86,94.94,54.4
99,1983,31.0,0.38299999999999995,291.5,16.32,93.24,54.78
100,1983,32.0,0.387,292.03,19.33,86.98,53.15
