,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.304,288.87,27.81,75.86,51.84
1,1981,37.0,0.305,289.41,36.83,53.05,44.94
2,1981,38.0,0.301,289.34,43.0,37.74,40.37
3,1981,39.0,0.29,288.46,46.51,28.99,37.75
4,1981,40.0,0.27399999999999997,286.71,46.61,28.87,37.74
5,1981,41.0,0.248,283.95,44.43,37.93,41.18
6,1981,42.0,0.215,280.38,38.88,56.43,47.66
7,1981,43.0,0.175,276.54,29.73,70.62,50.17
8,1981,44.0,0.139,272.47,22.09,76.58,49.33
9,1981,45.0,0.11,268.17,16.56,82.3,49.43
10,1981,46.0,0.091,265.04,15.6,81.54,48.57
11,1981,47.0,0.08,262.66,18.65,80.94,49.8
12,1981,48.0,0.07400000000000001,260.97,22.57,80.26,51.42
13,1981,49.0,0.067,258.96,22.19,81.86,52.03
14,1981,50.0,0.065,257.02,22.22,83.54,52.88
15,1981,51.0,0.066,255.95,26.41,82.49,54.45
16,1981,52.0,0.07,256.32,33.06,75.48,54.27
17,1982,1.0,0.077,258.13,44.89,63.95,54.42
18,1982,2.0,0.084,261.28,55.41,47.93,51.67
19,1982,3.0,0.08800000000000001,263.61,59.42,38.01,48.72
20,1982,4.0,0.091,266.15,57.55,29.88,43.71
21,1982,5.0,0.092,267.85,50.06,29.18,39.62
22,1982,6.0,0.094,268.92,44.28,31.75,38.01
23,1982,7.0,0.098,270.5,41.33,30.62,35.97
24,1982,8.0,0.106,272.32,42.5,29.83,36.16
25,1982,9.0,0.113,274.01,43.51,29.97,36.74
26,1982,10.0,0.12,275.63,43.53,31.8,37.66
27,1982,11.0,0.131,277.26,42.7,31.96,37.33
28,1982,12.0,0.142,278.95,40.84,38.51,39.68
29,1982,13.0,0.152,280.63,36.97,43.54,40.26
30,1982,14.0,0.161,282.33,31.56,48.11,39.83
31,1982,15.0,0.168,283.63,23.71,57.97,40.84
32,1982,16.0,0.185,285.07,20.25,65.26,42.75
33,1982,17.0,0.21100000000000002,286.78,20.42,68.25,44.33
34,1982,18.0,0.247,288.38,24.45,66.51,45.48
35,1982,19.0,0.292,290.08,32.91,61.53,47.22
36,1982,20.0,0.34,291.55,43.46,56.61,50.04
37,1982,21.0,0.373,291.98,48.59,59.47,54.03
38,1982,22.0,0.39399999999999996,292.18,50.77,60.28,55.52
39,1982,23.0,0.40299999999999997,292.22,49.81,61.34,55.58
40,1982,24.0,0.4,292.01,42.83,64.96,53.89
41,1982,25.0,0.391,291.7,36.58,70.58,53.58
42,1982,26.0,0.384,291.7,32.23,72.16,52.19
43,1982,27.0,0.382,292.16,31.41,69.34,50.37
44,1982,28.0,0.386,292.78,34.3,66.07,50.18
45,1982,29.0,0.391,293.51,40.27,61.52,50.89
46,1982,30.0,0.392,294.15,44.67,56.8,50.73
47,1982,31.0,0.386,294.45,43.24,52.37,47.8
48,1982,32.0,0.376,294.33,38.99,51.87,45.43
49,1982,33.0,0.37200000000000005,294.25,40.04,48.69,44.37
50,1982,34.0,0.366,294.14,41.62,41.79,41.7
51,1982,35.0,0.359,293.57,45.18,36.86,41.02
52,1982,36.0,0.34700000000000003,292.8,48.32,30.8,39.56
53,1982,37.0,0.325,291.76,46.49,26.63,36.56
54,1982,38.0,0.303,290.13,43.9,29.93,36.92
55,1982,39.0,0.27899999999999997,288.24,40.72,33.37,37.05
56,1982,40.0,0.252,286.29,35.75,35.12,35.44
57,1982,41.0,0.223,284.57,31.94,31.56,31.75
58,1982,42.0,0.2,282.84,31.56,32.01,31.79
59,1982,43.0,0.17800000000000002,280.96,31.54,34.34,32.94
60,1982,44.0,0.158,279.05,32.6,28.14,30.37
61,1982,45.0,0.133,276.9,29.6,26.11,27.86
62,1982,46.0,0.11599999999999999,275.33,30.28,23.68,26.98
63,1982,47.0,0.102,273.71,32.3,23.18,27.74
