,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.249,288.57,9.54,87.47,48.5
1,1981,37.0,0.253,288.6,18.3,71.39,44.84
2,1981,38.0,0.26,288.31,31.87,54.01,42.94
3,1981,39.0,0.261,287.4,42.59,42.35,42.47
4,1981,40.0,0.257,285.82,51.91,35.63,43.77
5,1981,41.0,0.244,283.36,59.56,38.57,49.06
6,1981,42.0,0.223,280.59,63.26,46.05,54.66
7,1981,43.0,0.195,277.92,63.32,46.42,54.87
8,1981,44.0,0.161,274.63,57.62,46.58,52.1
9,1981,45.0,0.129,270.24,49.16,54.28,51.72
10,1981,46.0,0.10400000000000001,266.4,42.95,58.15,50.55
11,1981,47.0,0.084,263.14,37.88,60.18,49.03
12,1981,48.0,0.071,260.41,37.32,63.35,50.34
13,1981,49.0,0.061,257.6,35.27,67.86,51.57
14,1981,50.0,0.055999999999999994,254.97,36.21,69.14,52.67
15,1981,51.0,0.053,253.33,37.66,71.55,54.61
16,1981,52.0,0.048,252.91,35.51,70.85,53.18
17,1982,1.0,0.046,253.41,36.09,67.67,51.88
18,1982,2.0,0.045,254.47,38.14,63.53,50.83
19,1982,3.0,0.043,255.75,39.0,59.29,49.14
20,1982,4.0,0.043,257.91,43.21,51.11,47.16
21,1982,5.0,0.042,259.03,41.37,48.49,44.93
22,1982,6.0,0.038,259.83,32.65,49.6,41.12
23,1982,7.0,0.038,261.61,26.26,49.24,37.75
24,1982,8.0,0.040999999999999995,263.97,22.8,47.85,35.33
25,1982,9.0,0.045,266.49,21.59,46.71,34.15
26,1982,10.0,0.052000000000000005,269.43,22.57,45.35,33.96
27,1982,11.0,0.064,272.64,25.8,41.76,33.78
28,1982,12.0,0.081,275.4,30.21,42.88,36.55
29,1982,13.0,0.09300000000000001,277.63,30.38,46.01,38.2
30,1982,14.0,0.102,279.55,27.29,50.27,38.78
31,1982,15.0,0.114,280.96,22.35,58.99,40.67
32,1982,16.0,0.135,282.59,19.35,66.84,43.09
33,1982,17.0,0.163,284.55,17.57,75.37,46.47
34,1982,18.0,0.207,286.79,21.7,78.31,50.0
35,1982,19.0,0.258,288.95,25.56,75.84,50.7
36,1982,20.0,0.307,290.86,27.69,72.49,50.09
