,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.294,289.84,27.17,70.22,48.7
1,1981,37.0,0.29100000000000004,290.14,36.19,53.92,45.06
2,1981,38.0,0.285,289.86,42.2,43.06,42.63
3,1981,39.0,0.275,288.79,46.12,38.47,42.3
4,1981,40.0,0.258,286.9,47.06,40.5,43.78
5,1981,41.0,0.23199999999999998,284.22,44.43,46.78,45.6
6,1981,42.0,0.19899999999999998,280.66,38.04,63.89,50.97
7,1981,43.0,0.158,276.35,28.35,78.62,53.49
8,1981,44.0,0.125,272.21,21.77,81.7,51.74
9,1981,45.0,0.1,268.22,18.7,81.27,49.99
10,1981,46.0,0.083,264.65,19.36,79.32,49.34
11,1981,47.0,0.07200000000000001,260.98,24.33,79.29,51.81
12,1981,48.0,0.066,258.42,29.65,77.55,53.6
13,1981,49.0,0.057999999999999996,256.64,30.56,76.13,53.34
14,1981,50.0,0.055,255.38,33.48,73.0,53.24
15,1981,51.0,0.055999999999999994,255.09,40.77,66.32,53.55
16,1981,52.0,0.057,255.87,46.57,58.9,52.74
17,1982,1.0,0.059000000000000004,258.24,51.11,48.78,49.95
18,1982,2.0,0.063,261.53,55.89,38.2,47.04
19,1982,3.0,0.063,263.45,57.3,32.69,44.99
20,1982,4.0,0.061,265.1,53.96,28.62,41.29
21,1982,5.0,0.057999999999999996,266.42,46.87,28.57,37.72
22,1982,6.0,0.055999999999999994,267.47,39.55,30.27,34.91
23,1982,7.0,0.055,268.58,35.19,31.1,33.14
24,1982,8.0,0.057,270.15,33.35,32.09,32.72
25,1982,9.0,0.057,271.6,30.82,34.71,32.77
26,1982,10.0,0.057,273.1,27.66,36.79,32.23
27,1982,11.0,0.063,275.28,26.28,34.48,30.38
28,1982,12.0,0.07400000000000001,277.68,25.86,36.39,31.12
29,1982,13.0,0.085,279.65,22.76,40.53,31.65
30,1982,14.0,0.098,281.32,18.26,46.96,32.61
31,1982,15.0,0.107,282.33,11.26,59.73,35.49
32,1982,16.0,0.129,284.0,9.15,69.23,39.19
33,1982,17.0,0.161,286.23,10.63,71.64,41.14
34,1982,18.0,0.203,288.95,15.19,63.82,39.5
35,1982,19.0,0.252,291.41,20.85,53.29,37.07
36,1982,20.0,0.299,292.91,25.37,50.39,37.88
37,1982,21.0,0.337,293.36,27.36,54.62,40.99
38,1982,22.0,0.365,293.44,27.7,59.02,43.36
39,1982,23.0,0.382,293.2,25.81,64.8,45.31
40,1982,24.0,0.387,293.07,23.2,69.39,46.3
41,1982,25.0,0.391,293.01,24.85,72.85,48.85
42,1982,26.0,0.39299999999999996,292.94,26.26,75.5,50.88
43,1982,27.0,0.395,293.2,29.3,74.36,51.83
