,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.185,296.18,27.66,68.89,48.28
1,1981,37.0,0.18600000000000003,295.59,32.85,58.17,45.51
2,1981,38.0,0.187,294.52,38.48,52.66,45.57
3,1981,39.0,0.188,292.92,43.77,50.84,47.3
4,1981,40.0,0.18899999999999997,290.84,48.58,50.17,49.38
5,1981,41.0,0.19,288.28,53.16,49.65,51.41
6,1981,42.0,0.188,285.36,56.7,48.58,52.64
7,1981,43.0,0.18,282.67,56.86,45.2,51.03
8,1981,44.0,0.161,279.45,52.99,44.41,48.7
9,1981,45.0,0.136,276.77,46.78,43.87,45.32
10,1981,46.0,0.115,274.71,41.81,41.52,41.67
11,1981,47.0,0.10300000000000001,272.5,39.88,41.39,40.64
12,1981,48.0,0.092,270.33,39.38,42.17,40.78
13,1981,49.0,0.083,268.51,38.91,40.6,39.75
14,1981,50.0,0.077,266.73,39.6,39.67,39.64
15,1981,51.0,0.07200000000000001,265.99,40.71,37.32,39.01
16,1981,52.0,0.067,265.94,39.35,34.61,36.98
17,1982,1.0,0.066,266.54,40.85,32.55,36.7
18,1982,2.0,0.066,267.4,42.87,28.53,35.7
19,1982,3.0,0.065,268.03,42.87,25.85,34.36
20,1982,4.0,0.061,268.46,39.17,25.89,32.53
21,1982,5.0,0.053,268.39,33.9,27.52,30.71
22,1982,6.0,0.049,269.18,30.52,28.91,29.72
23,1982,7.0,0.048,270.53,27.67,30.51,29.09
24,1982,8.0,0.051,271.91,26.98,32.41,29.7
25,1982,9.0,0.053,273.31,26.03,35.85,30.94
26,1982,10.0,0.059000000000000004,275.18,23.69,38.46,31.08
27,1982,11.0,0.07400000000000001,277.73,25.67,36.79,31.23
28,1982,12.0,0.091,281.25,27.87,33.98,30.92
29,1982,13.0,0.105,284.38,28.45,32.58,30.52
30,1982,14.0,0.11699999999999999,286.5,27.85,34.23,31.04
31,1982,15.0,0.124,288.01,24.66,41.11,32.89
32,1982,16.0,0.14300000000000002,289.62,23.32,53.19,38.26
33,1982,17.0,0.17,291.28,23.84,67.68,45.76
34,1982,18.0,0.2,293.12,25.33,73.51,49.42
35,1982,19.0,0.23,294.67,24.9,78.03,51.47
36,1982,20.0,0.254,295.57,23.49,80.91,52.2
37,1982,21.0,0.273,295.94,23.42,83.6,53.51
38,1982,22.0,0.285,295.77,24.27,87.44,55.85
39,1982,23.0,0.289,295.31,25.81,91.64,58.72
40,1982,24.0,0.292,295.5,28.81,93.04,60.93
41,1982,25.0,0.292,295.8,31.5,94.72,63.11
42,1982,26.0,0.29,295.92,33.4,96.08,64.74
43,1982,27.0,0.285,296.06,33.77,95.95,64.86
44,1982,28.0,0.27899999999999997,296.31,34.74,93.96,64.35
45,1982,29.0,0.28600000000000003,296.97,41.1,90.18,65.64
46,1982,30.0,0.29100000000000004,297.8,47.95,83.29,65.62
47,1982,31.0,0.289,298.56,52.89,75.37,64.13
48,1982,32.0,0.285,299.31,58.11,67.56,62.84
49,1982,33.0,0.282,299.77,62.62,62.2,62.41
50,1982,34.0,0.27399999999999997,299.66,64.23,60.7,62.46
51,1982,35.0,0.264,299.3,64.88,56.48,60.68
52,1982,36.0,0.254,298.97,64.31,43.98,54.15
53,1982,37.0,0.23800000000000002,298.03,60.52,35.58,48.05
54,1982,38.0,0.222,296.5,56.74,34.01,45.38
55,1982,39.0,0.205,294.65,51.8,34.09,42.94
56,1982,40.0,0.18,292.2,43.7,37.01,40.35
57,1982,41.0,0.156,289.59,36.89,37.11,37.0
58,1982,42.0,0.13699999999999998,286.78,33.74,35.87,34.81
59,1982,43.0,0.121,283.99,31.67,35.4,33.54
60,1982,44.0,0.107,281.77,29.8,29.57,29.68
61,1982,45.0,0.092,279.75,26.94,26.93,26.93
62,1982,46.0,0.078,277.0,24.02,30.21,27.12
63,1982,47.0,0.063,273.14,19.81,39.9,29.85
64,1982,48.0,0.054000000000000006,269.02,17.89,49.94,33.91
65,1982,49.0,0.047,265.55,16.57,53.93,35.25
66,1982,50.0,0.04,262.69,13.84,55.96,34.9
67,1982,51.0,0.039,261.06,15.66,55.35,35.51
68,1982,52.0,0.039,261.02,17.44,51.0,34.22
69,1983,1.0,0.037000000000000005,261.71,20.07,48.39,34.23
70,1983,2.0,0.035,262.39,22.05,44.6,33.33
71,1983,3.0,0.036000000000000004,262.76,23.42,41.46,32.44
72,1983,4.0,0.038,263.3,24.94,39.91,32.43
73,1983,5.0,0.04,264.76,26.25,37.2,31.72
74,1983,6.0,0.039,265.59,24.85,38.64,31.74
75,1983,7.0,0.042,266.9,24.24,40.54,32.39
