,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.23,292.21,17.78,78.54,48.16
1,1981,37.0,0.23399999999999999,292.08,28.23,61.77,45.0
2,1981,38.0,0.237,291.47,39.63,48.48,44.05
3,1981,39.0,0.235,290.18,48.71,39.63,44.17
4,1981,40.0,0.22899999999999998,288.22,56.05,35.6,45.83
5,1981,41.0,0.218,285.51,60.67,38.04,49.36
6,1981,42.0,0.2,282.3,62.61,42.6,52.6
7,1981,43.0,0.17600000000000002,278.72,61.81,50.13,55.97
8,1981,44.0,0.14800000000000002,275.08,57.55,53.53,55.54
9,1981,45.0,0.121,270.38,51.33,61.41,56.37
10,1981,46.0,0.1,265.99,47.4,67.03,57.22
11,1981,47.0,0.08199999999999999,262.48,43.71,68.43,56.07
12,1981,48.0,0.07,259.68,43.09,69.95,56.52
13,1981,49.0,0.061,257.07,43.11,73.43,58.27
14,1981,50.0,0.055,254.86,43.73,72.09,57.91
15,1981,51.0,0.048,252.64,43.93,74.17,59.05
16,1981,52.0,0.043,252.09,45.23,70.46,57.85
17,1982,1.0,0.038,252.22,47.05,69.15,58.1
18,1982,2.0,0.036000000000000004,253.39,45.39,63.52,54.45
19,1982,3.0,0.033,254.22,41.22,60.22,50.72
20,1982,4.0,0.031,255.6,37.35,58.01,47.68
21,1982,5.0,0.03,257.16,32.54,56.92,44.73
22,1982,6.0,0.027999999999999997,258.12,25.63,57.18,41.41
23,1982,7.0,0.028999999999999998,259.9,21.3,54.76,38.03
24,1982,8.0,0.033,262.82,21.84,49.76,35.8
25,1982,9.0,0.036000000000000004,265.27,20.87,48.45,34.66
26,1982,10.0,0.040999999999999995,267.96,20.64,48.64,34.64
27,1982,11.0,0.053,271.56,24.24,45.76,35.0
28,1982,12.0,0.07200000000000001,275.19,30.89,43.71,37.3
29,1982,13.0,0.092,278.5,36.31,42.75,39.53
30,1982,14.0,0.10300000000000001,281.02,35.51,42.88,39.2
31,1982,15.0,0.11599999999999999,283.13,33.78,44.63,39.21
32,1982,16.0,0.139,284.78,33.35,50.99,42.17
33,1982,17.0,0.16699999999999998,286.45,32.68,63.15,47.92
34,1982,18.0,0.207,288.24,35.78,75.31,55.54
35,1982,19.0,0.267,290.74,44.29,78.15,61.22
36,1982,20.0,0.325,293.07,52.61,75.69,64.15
37,1982,21.0,0.371,294.4,59.15,75.3,67.23
38,1982,22.0,0.397,294.56,60.33,78.74,69.54
39,1982,23.0,0.40700000000000003,294.46,56.77,83.03,69.9
40,1982,24.0,0.40700000000000003,294.31,50.69,89.54,70.12
41,1982,25.0,0.401,294.27,44.31,93.68,68.99
42,1982,26.0,0.39899999999999997,294.53,43.57,92.82,68.2
43,1982,27.0,0.391,294.5,41.29,91.12,66.2
44,1982,28.0,0.39,294.76,44.24,88.75,66.49
45,1982,29.0,0.38799999999999996,294.93,47.82,89.6,68.71
46,1982,30.0,0.386,295.03,52.55,90.97,71.76
47,1982,31.0,0.38,295.04,56.42,90.94,73.68
48,1982,32.0,0.375,295.38,60.75,86.76,73.75
49,1982,33.0,0.371,295.65,65.02,80.09,72.55
50,1982,34.0,0.363,295.45,68.48,75.2,71.84
