,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.299,288.86,21.34,75.21,48.27
1,1981,37.0,0.298,289.12,29.67,58.09,43.88
2,1981,38.0,0.29600000000000004,289.01,37.85,43.42,40.64
3,1981,39.0,0.29,288.21,45.29,31.41,38.35
4,1981,40.0,0.278,286.72,49.07,26.4,37.74
5,1981,41.0,0.258,284.37,48.74,30.18,39.46
6,1981,42.0,0.225,281.28,43.79,42.9,43.35
7,1981,43.0,0.187,278.05,35.41,55.86,45.64
8,1981,44.0,0.152,274.9,29.15,58.12,43.64
9,1981,45.0,0.125,271.35,24.32,61.1,42.71
10,1981,46.0,0.107,268.34,25.38,60.26,42.82
11,1981,47.0,0.095,265.36,30.29,62.85,46.57
12,1981,48.0,0.086,263.82,34.34,60.25,47.3
13,1981,49.0,0.078,262.02,33.22,60.17,46.7
14,1981,50.0,0.07400000000000001,259.84,34.26,61.92,48.09
15,1981,51.0,0.07400000000000001,258.75,37.81,59.56,48.68
16,1981,52.0,0.077,259.48,44.62,51.92,48.27
17,1982,1.0,0.083,261.7,57.78,41.22,49.5
18,1982,2.0,0.092,264.4,65.82,31.42,48.62
19,1982,3.0,0.09699999999999999,265.74,70.62,27.11,48.86
20,1982,4.0,0.10099999999999999,267.73,71.82,20.73,46.28
21,1982,5.0,0.102,268.87,65.88,21.34,43.61
22,1982,6.0,0.10300000000000001,269.8,58.54,24.88,41.71
23,1982,7.0,0.10400000000000001,271.19,52.98,24.51,38.74
24,1982,8.0,0.107,272.53,50.3,24.93,37.61
25,1982,9.0,0.10800000000000001,273.73,47.48,26.48,36.98
26,1982,10.0,0.109,275.0,43.63,29.24,36.44
27,1982,11.0,0.11699999999999999,276.51,41.24,29.63,35.44
28,1982,12.0,0.127,278.0,38.89,36.62,37.76
29,1982,13.0,0.135,279.41,33.32,43.09,38.21
30,1982,14.0,0.145,280.79,26.13,51.57,38.85
31,1982,15.0,0.154,281.85,17.49,65.61,41.55
32,1982,16.0,0.177,283.32,16.35,74.95,45.65
33,1982,17.0,0.21100000000000002,285.27,18.91,78.06,48.48
