,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.251,290.09,11.33,76.44,43.88
1,1981,37.0,0.255,290.35,21.33,59.09,40.21
2,1981,38.0,0.259,290.22,32.32,40.28,36.3
3,1981,39.0,0.261,289.44,42.58,25.49,34.04
4,1981,40.0,0.258,287.96,51.72,19.61,35.66
5,1981,41.0,0.248,285.56,59.17,23.08,41.12
6,1981,42.0,0.231,282.51,62.97,36.38,49.67
7,1981,43.0,0.205,279.3,60.99,46.27,53.63
8,1981,44.0,0.171,275.89,54.7,46.53,50.61
9,1981,45.0,0.14,272.61,46.99,47.46,47.23
10,1981,46.0,0.11800000000000001,270.02,45.05,45.85,45.45
11,1981,47.0,0.10300000000000001,267.56,47.47,45.21,46.34
12,1981,48.0,0.09300000000000001,265.8,48.46,45.53,47.0
13,1981,49.0,0.084,264.25,46.39,45.93,46.16
14,1981,50.0,0.08,262.58,50.4,47.36,48.88
15,1981,51.0,0.077,261.38,52.39,45.97,49.18
16,1981,52.0,0.07400000000000001,261.23,54.4,42.4,48.4
17,1982,1.0,0.077,262.5,61.42,34.11,47.76
18,1982,2.0,0.084,264.78,67.23,24.0,45.62
19,1982,3.0,0.086,265.88,67.65,20.41,44.03
20,1982,4.0,0.084,266.9,65.13,19.09,42.11
21,1982,5.0,0.078,266.89,55.58,25.02,40.3
22,1982,6.0,0.07400000000000001,267.4,46.31,29.78,38.04
23,1982,7.0,0.07200000000000001,268.56,39.36,30.87,35.11
24,1982,8.0,0.073,269.94,35.92,31.5,33.71
25,1982,9.0,0.075,271.37,33.32,32.62,32.97
26,1982,10.0,0.08,273.17,30.7,33.84,32.27
27,1982,11.0,0.092,275.25,31.51,32.31,31.91
28,1982,12.0,0.105,277.25,31.32,36.25,33.78
29,1982,13.0,0.115,278.87,27.75,42.18,34.96
30,1982,14.0,0.124,280.35,21.7,49.95,35.82
31,1982,15.0,0.136,281.65,14.57,63.44,39.01
32,1982,16.0,0.162,283.34,13.11,74.74,43.93
33,1982,17.0,0.196,285.43,15.05,81.38,48.22
34,1982,18.0,0.253,288.41,26.76,77.52,52.14
35,1982,19.0,0.306,290.87,36.29,69.82,53.06
36,1982,20.0,0.344,292.39,39.93,66.86,53.4
37,1982,21.0,0.37,292.89,40.35,69.42,54.88
38,1982,22.0,0.385,292.87,37.51,72.23,54.87
39,1982,23.0,0.391,292.79,32.86,74.89,53.87
40,1982,24.0,0.391,292.69,28.93,78.15,53.54
41,1982,25.0,0.39,292.63,26.52,82.49,54.51
42,1982,26.0,0.38799999999999996,292.56,24.63,84.99,54.81
43,1982,27.0,0.391,292.92,27.5,83.86,55.68
44,1982,28.0,0.396,293.41,35.44,81.24,58.34
45,1982,29.0,0.401,293.84,43.99,79.66,61.82
46,1982,30.0,0.39799999999999996,294.02,47.81,79.63,63.72
47,1982,31.0,0.395,294.33,48.91,76.11,62.51
48,1982,32.0,0.389,294.52,47.91,71.25,59.58
49,1982,33.0,0.385,294.49,49.4,65.27,57.34
50,1982,34.0,0.381,294.34,54.26,57.31,55.78
51,1982,35.0,0.377,293.86,61.34,49.22,55.28
52,1982,36.0,0.369,293.13,67.77,41.74,54.76
53,1982,37.0,0.353,292.07,71.33,37.75,54.54
54,1982,38.0,0.33799999999999997,290.49,74.27,36.85,55.56
55,1982,39.0,0.314,288.69,72.48,36.12,54.3
56,1982,40.0,0.282,286.76,66.92,35.47,51.2
57,1982,41.0,0.24600000000000002,284.72,57.93,34.19,46.06
