,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.262,291.76,12.24,64.35,38.3
1,1981,37.0,0.26,291.55,19.7,51.17,35.43
2,1981,38.0,0.255,290.86,26.27,43.07,34.67
3,1981,39.0,0.249,289.56,32.22,39.72,35.97
4,1981,40.0,0.237,287.74,35.88,40.84,38.36
5,1981,41.0,0.21899999999999997,285.35,37.55,42.35,39.95
6,1981,42.0,0.195,282.52,37.91,49.51,43.71
7,1981,43.0,0.165,279.36,35.16,58.01,46.59
8,1981,44.0,0.136,275.69,30.79,59.2,44.99
9,1981,45.0,0.109,271.77,25.48,58.48,41.98
10,1981,46.0,0.09,269.13,24.87,55.5,40.19
11,1981,47.0,0.081,267.25,31.19,52.97,42.08
12,1981,48.0,0.076,266.19,39.58,49.16,44.37
13,1981,49.0,0.068,265.15,43.66,45.0,44.33
14,1981,50.0,0.065,264.0,49.41,40.96,45.18
15,1981,51.0,0.063,262.73,56.06,37.55,46.81
16,1981,52.0,0.065,262.26,60.45,34.24,47.34
17,1982,1.0,0.068,263.59,63.47,28.34,45.9
18,1982,2.0,0.07400000000000001,265.78,67.62,23.05,45.34
19,1982,3.0,0.076,267.19,69.37,20.4,44.88
20,1982,4.0,0.075,268.57,65.26,17.93,41.6
21,1982,5.0,0.07200000000000001,269.24,58.58,20.0,39.29
22,1982,6.0,0.071,270.12,52.37,22.93,37.65
23,1982,7.0,0.069,271.42,46.52,23.54,35.03
24,1982,8.0,0.071,272.73,43.9,25.02,34.46
25,1982,9.0,0.071,273.55,40.16,29.93,35.04
26,1982,10.0,0.071,274.83,34.51,34.16,34.33
27,1982,11.0,0.075,276.7,31.58,34.05,32.82
28,1982,12.0,0.08199999999999999,278.76,27.79,38.59,33.19
29,1982,13.0,0.08900000000000001,280.34,20.92,44.35,32.63
30,1982,14.0,0.099,281.59,13.64,54.42,34.03
31,1982,15.0,0.106,282.09,6.78,74.56,40.67
32,1982,16.0,0.128,283.56,5.91,84.36,45.13
33,1982,17.0,0.165,285.87,8.68,84.09,46.38
34,1982,18.0,0.214,289.0,16.42,75.21,45.82
35,1982,19.0,0.261,291.52,22.04,64.58,43.31
36,1982,20.0,0.301,292.91,24.41,61.48,42.94
37,1982,21.0,0.33299999999999996,293.18,24.73,66.04,45.39
38,1982,22.0,0.354,292.83,20.96,73.67,47.31
39,1982,23.0,0.366,292.65,16.35,79.08,47.71
40,1982,24.0,0.375,292.83,14.69,81.4,48.04
41,1982,25.0,0.385,292.94,17.13,83.42,50.27
42,1982,26.0,0.39,292.98,19.35,84.87,52.11
43,1982,27.0,0.39399999999999996,293.25,23.85,85.59,54.72
44,1982,28.0,0.39399999999999996,293.64,29.76,84.47,57.11
45,1982,29.0,0.39899999999999997,294.27,39.54,79.3,59.42
46,1982,30.0,0.39899999999999997,294.82,45.03,73.44,59.23
47,1982,31.0,0.39299999999999996,295.26,45.28,67.63,56.46
48,1982,32.0,0.386,295.54,45.23,61.75,53.49
49,1982,33.0,0.381,295.69,47.59,54.82,51.21
50,1982,34.0,0.374,295.79,50.85,46.66,48.76
51,1982,35.0,0.36200000000000004,295.42,53.32,40.2,46.76
52,1982,36.0,0.345,294.82,54.44,32.44,43.44
53,1982,37.0,0.319,293.86,51.32,27.87,39.59
54,1982,38.0,0.29100000000000004,292.23,45.36,28.61,36.98
55,1982,39.0,0.258,290.02,36.95,34.25,35.6
56,1982,40.0,0.223,287.76,27.95,40.26,34.1
57,1982,41.0,0.188,285.92,20.56,34.98,27.77
58,1982,42.0,0.162,284.11,19.83,30.99,25.41
59,1982,43.0,0.138,282.07,20.23,32.94,26.59
60,1982,44.0,0.11800000000000001,280.05,20.7,24.49,22.6
61,1982,45.0,0.096,277.63,17.45,22.4,19.92
62,1982,46.0,0.077,274.91,15.96,25.44,20.7
63,1982,47.0,0.063,271.51,16.44,32.57,24.51
64,1982,48.0,0.053,267.61,19.02,43.27,31.15
65,1982,49.0,0.046,264.4,19.38,48.83,34.11
66,1982,50.0,0.039,261.9,19.38,49.38,34.38
67,1982,51.0,0.038,260.11,23.86,46.93,35.4
68,1982,52.0,0.036000000000000004,259.26,24.37,44.01,34.19
69,1983,1.0,0.034,259.24,21.57,42.35,31.96
70,1983,2.0,0.033,259.94,21.99,42.19,32.09
71,1983,3.0,0.035,260.45,26.26,42.67,34.46
72,1983,4.0,0.039,261.14,30.9,41.57,36.23
73,1983,5.0,0.042,261.85,32.45,42.72,37.59
74,1983,6.0,0.040999999999999995,262.22,29.4,46.9,38.15
75,1983,7.0,0.043,263.53,27.56,47.78,37.67
76,1983,8.0,0.046,265.62,27.7,47.65,37.67
77,1983,9.0,0.051,267.79,28.63,49.2,38.91
78,1983,10.0,0.061,270.91,29.26,48.06,38.66
79,1983,11.0,0.07200000000000001,273.96,30.05,44.75,37.4
80,1983,12.0,0.08900000000000001,277.2,31.68,45.05,38.36
81,1983,13.0,0.111,280.7,32.34,42.77,37.56
82,1983,14.0,0.132,283.68,30.62,42.25,36.43
83,1983,15.0,0.158,286.42,31.48,43.61,37.54
84,1983,16.0,0.19,288.49,32.83,46.81,39.82
85,1983,17.0,0.228,290.54,35.94,45.97,40.95
86,1983,18.0,0.27399999999999997,292.09,42.16,47.06,44.61
87,1983,19.0,0.317,292.71,46.06,53.57,49.82
88,1983,20.0,0.348,293.37,45.94,57.26,51.6
89,1983,21.0,0.37200000000000005,294.04,43.94,58.47,51.2
90,1983,22.0,0.391,294.27,40.79,61.45,51.12
91,1983,23.0,0.40399999999999997,294.3,37.85,65.28,51.57
92,1983,24.0,0.402,293.87,30.57,72.57,51.57
93,1983,25.0,0.39799999999999996,293.76,24.43,76.6,50.52
94,1983,26.0,0.39799999999999996,294.12,23.4,74.85,49.12
95,1983,27.0,0.392,294.19,22.08,77.29,49.69
96,1983,28.0,0.38,293.93,21.09,82.08,51.58
97,1983,29.0,0.368,293.73,20.54,85.14,52.84
98,1983,30.0,0.35700000000000004,293.73,20.21,85.41,52.81
99,1983,31.0,0.358,293.88,24.42,83.67,54.04
100,1983,32.0,0.35700000000000004,294.05,27.97,80.01,53.99
101,1983,33.0,0.354,294.43,30.47,70.94,50.71
102,1983,34.0,0.35100000000000003,294.77,36.05,59.98,48.02
103,1983,35.0,0.35,295.12,45.66,43.98,44.82
104,1983,36.0,0.33899999999999997,294.79,51.03,32.82,41.93
105,1983,37.0,0.32,294.06,52.35,25.91,39.13
106,1983,38.0,0.298,292.64,49.83,24.36,37.1
107,1983,39.0,0.276,290.85,47.36,25.01,36.19
108,1983,40.0,0.251,289.07,43.56,24.51,34.03
109,1983,41.0,0.221,286.64,38.85,26.36,32.6
110,1983,42.0,0.188,283.77,34.55,35.0,34.77
111,1983,43.0,0.157,280.83,30.68,44.83,37.76
112,1983,44.0,0.131,277.44,28.29,47.44,37.87
113,1983,45.0,0.11,274.29,26.9,46.36,36.63
114,1983,46.0,0.091,271.78,25.71,44.35,35.03
115,1983,47.0,0.076,269.58,26.96,43.46,35.21
116,1983,48.0,0.066,268.26,31.14,40.38,35.76
117,1983,49.0,0.057,266.74,30.9,38.39,34.65
118,1983,50.0,0.05,265.65,32.3,34.14,33.22
119,1983,51.0,0.045,264.3,33.06,31.18,32.12
120,1983,52.0,0.042,263.19,31.83,30.49,31.16
121,1984,1.0,0.042,262.39,30.97,32.12,31.54
122,1984,2.0,0.039,260.76,28.74,40.07,34.4
123,1984,3.0,0.036000000000000004,258.47,27.19,50.29,38.74
124,1984,4.0,0.032,257.0,24.45,55.91,40.18
